Baby_ID,Name,Gender,Year,Frequency
001,LAURA,Female,1996,237
002,MARIA,Female,1996,219
003,MARTA,Female,1996,206
004,ANDREA,Female,1996,199
005,ANNA,Female,1996,195
006,PAULA,Female,1996,186
007,ALBA,Female,1996,142
008,SARA,Female,1996,125
009,LAIA,Female,1996,123
010,CLAUDIA,Female,1996,122
011,JULIA,Female,1996,115
012,CARLA,Female,1996,112
013,MIREIA,Female,1996,112
014,MARINA,Female,1996,102
015,CRISTINA,Female,1996,99
016,CLARA,Female,1996,89
017,JUDITH,Female,1996,80
018,ARIADNA,Female,1996,78
019,NURIA,Female,1996,72
020,PATRICIA,Female,1996,71
021,RAQUEL,Female,1996,69
022,ANA,Female,1996,65
023,IRENE,Female,1996,64
024,JUDIT,Female,1996,63
025,SANDRA,Female,1996,55
026,MARIA,Female,1997,241
027,LAURA,Female,1997,229
028,MARTA,Female,1997,211
029,ANDREA,Female,1997,209
030,PAULA,Female,1997,205
031,LAIA,Female,1997,158
032,ANNA,Female,1997,146
033,ALBA,Female,1997,134
034,JULIA,Female,1997,132
035,CARLA,Female,1997,118
036,CLAUDIA,Female,1997,106
037,CRISTINA,Female,1997,105
038,SARA,Female,1997,97
039,IRENE,Female,1997,96
040,ARIADNA,Female,1997,90
041,MIREIA,Female,1997,90
042,CLARA,Female,1997,83
043,NURIA,Female,1997,83
044,MARINA,Female,1997,81
045,JUDITH,Female,1997,72
046,JUDIT,Female,1997,71
047,RAQUEL,Female,1997,67
048,BERTA,Female,1997,66
049,MAR,Female,1997,64
050,SANDRA,Female,1997,64
051,MARIA,Female,1998,265
052,LAURA,Female,1998,202
053,PAULA,Female,1998,175
054,MARTA,Female,1998,166
055,ANDREA,Female,1998,161
056,ANNA,Female,1998,149
057,LAIA,Female,1998,148
058,JULIA,Female,1998,124
059,CARLA,Female,1998,119
060,CLAUDIA,Female,1998,110
061,MARINA,Female,1998,107
062,SARA,Female,1998,102
063,ALBA,Female,1998,101
064,MIREIA,Female,1998,98
065,CRISTINA,Female,1998,96
066,CLARA,Female,1998,95
067,IRENE,Female,1998,82
068,NURIA,Female,1998,77
069,ANA,Female,1998,71
070,BERTA,Female,1998,68
071,ARIADNA,Female,1998,63
072,JUDIT,Female,1998,63
073,SANDRA,Female,1998,57
074,AINA,Female,1998,54
075,MAR,Female,1998,50
076,MARIA,Female,1999,299
077,LAURA,Female,1999,209
078,PAULA,Female,1999,207
079,ANDREA,Female,1999,187
080,MARTA,Female,1999,182
081,ANNA,Female,1999,141
082,LAIA,Female,1999,132
083,CARLA,Female,1999,128
084,JULIA,Female,1999,120
085,MARINA,Female,1999,116
086,ALBA,Female,1999,113
087,SARA,Female,1999,106
088,CLAUDIA,Female,1999,97
089,CRISTINA,Female,1999,93
090,ARIADNA,Female,1999,92
091,MIREIA,Female,1999,91
092,NURIA,Female,1999,84
093,BERTA,Female,1999,78
094,ANA,Female,1999,69
095,CLARA,Female,1999,69
096,IRENE,Female,1999,68
097,MAR,Female,1999,68
098,AINA,Female,1999,65
099,SANDRA,Female,1999,64
100,HELENA,Female,1999,62
101,MARIA,Female,2000,268
102,LAURA,Female,2000,222
103,PAULA,Female,2000,221
104,ANNA,Female,2000,180
105,ANDREA,Female,2000,162
106,MARTA,Female,2000,157
107,JULIA,Female,2000,144
108,ALBA,Female,2000,137
109,CARLA,Female,2000,137
110,LAIA,Female,2000,132
111,SARA,Female,2000,118
112,CLAUDIA,Female,2000,117
113,MARINA,Female,2000,116
114,MIREIA,Female,2000,111
115,CRISTINA,Female,2000,86
116,BERTA,Female,2000,84
117,CLARA,Female,2000,82
118,ARIADNA,Female,2000,78
119,ANA,Female,2000,72
120,NATALIA,Female,2000,63
121,NURIA,Female,2000,62
122,HELENA,Female,2000,61
123,IRENE,Female,2000,55
124,CARLOTA,Female,2000,54
125,EMMA,Female,2000,54
126,MARIA,Female,2001,243
127,PAULA,Female,2001,187
128,LAURA,Female,2001,175
129,MARTA,Female,2001,157
130,CARLA,Female,2001,153
131,ANNA,Female,2001,152
132,LAIA,Female,2001,143
133,JULIA,Female,2001,138
134,ALBA,Female,2001,131
135,ANDREA,Female,2001,129
136,CLAUDIA,Female,2001,120
137,SARA,Female,2001,114
138,MIREIA,Female,2001,104
139,MARINA,Female,2001,98
140,ANA,Female,2001,83
141,CRISTINA,Female,2001,78
142,BERTA,Female,2001,76
143,CLARA,Female,2001,72
144,NURIA,Female,2001,71
145,ARIADNA,Female,2001,67
146,AINA,Female,2001,65
147,JUDITH,Female,2001,61
148,IRENE,Female,2001,57
149,CARLOTA,Female,2001,54
150,NEREA,Female,2001,53
151,MARIA,Female,2002,243
152,PAULA,Female,2002,197
153,MARTA,Female,2002,162
154,LAURA,Female,2002,161
155,ALBA,Female,2002,147
156,CARLA,Female,2002,142
157,LAIA,Female,2002,137
158,JULIA,Female,2002,134
159,ANNA,Female,2002,132
160,CLAUDIA,Female,2002,124
161,ANDREA,Female,2002,117
162,SARA,Female,2002,105
163,LUCIA,Female,2002,100
164,MARINA,Female,2002,98
165,MIREIA,Female,2002,96
166,ARIADNA,Female,2002,92
167,CLARA,Female,2002,81
168,AINA,Female,2002,80
169,NURIA,Female,2002,71
170,CARLOTA,Female,2002,70
171,MARTINA,Female,2002,65
172,BERTA,Female,2002,63
173,MAR,Female,2002,63
174,CRISTINA,Female,2002,62
175,NEREA,Female,2002,62
176,MARIA,Female,2003,196
177,PAULA,Female,2003,192
178,CARLA,Female,2003,165
179,LAIA,Female,2003,158
180,LAURA,Female,2003,148
181,ALBA,Female,2003,135
182,ANNA,Female,2003,135
183,MARTA,Female,2003,131
184,JULIA,Female,2003,128
185,ANDREA,Female,2003,126
186,CLAUDIA,Female,2003,121
187,LUCIA,Female,2003,119
188,SARA,Female,2003,107
189,ARIADNA,Female,2003,96
190,MARINA,Female,2003,84
191,CRISTINA,Female,2003,75
192,BERTA,Female,2003,72
193,CLARA,Female,2003,71
194,MIREIA,Female,2003,71
195,MARTINA,Female,2003,67
196,NURIA,Female,2003,66
197,MAR,Female,2003,65
198,AINHOA,Female,2003,64
199,NEREA,Female,2003,60
200,ANA,Female,2003,59
201,MARIA,Female,2004,200
202,PAULA,Female,2004,190
203,LAIA,Female,2004,184
204,JULIA,Female,2004,171
205,LUCIA,Female,2004,171
206,CARLA,Female,2004,164
207,LAURA,Female,2004,146
208,CLAUDIA,Female,2004,127
209,ALBA,Female,2004,122
210,ANNA,Female,2004,111
211,MARTA,Female,2004,110
212,ANDREA,Female,2004,106
213,MARTINA,Female,2004,105
214,SARA,Female,2004,84
215,MARINA,Female,2004,81
216,ARIADNA,Female,2004,77
217,BERTA,Female,2004,76
218,AINA,Female,2004,73
219,MIREIA,Female,2004,68
220,NEREA,Female,2004,62
221,CLARA,Female,2004,61
222,CRISTINA,Female,2004,58
223,NURIA,Female,2004,56
224,JUDITH,Female,2004,55
225,MAR,Female,2004,55
226,LAIA,Female,2005,200
227,MARIA,Female,2005,183
228,JULIA,Female,2005,182
229,CARLA,Female,2005,171
230,LUCIA,Female,2005,165
231,PAULA,Female,2005,157
232,MARTINA,Female,2005,144
233,LAURA,Female,2005,124
234,MARTA,Female,2005,122
235,ALBA,Female,2005,117
236,CLAUDIA,Female,2005,112
237,ARIADNA,Female,2005,99
238,SOFIA,Female,2005,90
239,ANNA,Female,2005,87
240,BERTA,Female,2005,77
241,SARA,Female,2005,77
242,MARINA,Female,2005,76
243,AINA,Female,2005,73
244,CLARA,Female,2005,69
245,ANDREA,Female,2005,68
246,NOA,Female,2005,66
247,MIREIA,Female,2005,60
248,MAR,Female,2005,59
249,NATALIA,Female,2005,59
250,EMMA,Female,2005,57
251,MARIA,Female,2006,196
252,LAIA,Female,2006,180
253,LUCIA,Female,2006,170
254,JULIA,Female,2006,160
255,CARLA,Female,2006,145
256,MARTINA,Female,2006,129
257,CLAUDIA,Female,2006,126
258,PAULA,Female,2006,122
259,LAURA,Female,2006,111
260,ALBA,Female,2006,101
261,SARA,Female,2006,97
262,MARTA,Female,2006,89
263,ANNA,Female,2006,86
264,AINA,Female,2006,82
265,ARIADNA,Female,2006,76
266,BERTA,Female,2006,68
267,ANDREA,Female,2006,66
268,CLARA,Female,2006,66
269,IRENE,Female,2006,65
270,MARINA,Female,2006,61
271,EMMA,Female,2006,58
272,SOFIA,Female,2006,58
273,JANA,Female,2006,56
274,MIREIA,Female,2006,56
275,CARLOTA,Female,2006,55
