Row_ID,date,state,state_name,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,negative,negativeIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered
00001,2020-01-19,WA,Washington,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
00002,2020-01-20,WA,Washington,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
00003,2020-01-21,WA,Washington,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
00004,2020-01-22,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
00005,2020-01-22,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00006,2020-01-23,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
00007,2020-01-23,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00008,2020-01-24,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
00009,2020-01-24,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00010,2020-01-25,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
00011,2020-01-25,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00012,2020-01-26,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
00013,2020-01-26,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00014,2020-01-27,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0
00015,2020-01-27,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00016,2020-01-28,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
00017,2020-01-28,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00018,2020-01-29,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00019,2020-01-29,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,0,0,0
00020,2020-01-29,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00021,2020-01-30,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00022,2020-01-30,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
00023,2020-01-30,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00024,2020-01-31,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
00025,2020-01-31,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
00026,2020-01-31,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00027,2020-02-01,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
00028,2020-02-01,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
00029,2020-02-01,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00030,2020-02-02,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
00031,2020-02-02,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
00032,2020-02-02,WA,Washington,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
00033,2020-02-03,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
00034,2020-02-03,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,3,0,0,0
00035,2020-02-03,WA,Washington,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
